station_id,station_name,city,frequency,listed_files,first_year,last_year,status
site_5081,"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad,15M,9,2017,2025,success
site_144,"Vasundhara, Ghaziabad - UPPCB",Ghaziabad,15M,9,2017,2025,success
site_6091,"Ved Vihar-Loni, Ghaziabad - UPPCB",Ghaziabad,15M,0,,,success
site_5472,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",Gorakhpur,15M,9,2017,2025,success
site_5549,"Mariam Nagar, Purnia - BSPCB",Goshaingaon,15M,9,2017,2025,success
site_5121,"Knowledge Park - V, Greater Noida - UPPCB",Greater Noida,15M,9,2017,2025,success
site_6084,"Rajendra Nagar North, Guntur - APPCB",Guntur,15M,0,,,success
site_6011,"Amity University, Panchgaon - IITM",Gurugram,15M,1,2025,2025,success
site_108,"Aya Nagar, Delhi - IITM",Gurugram,15M,9,2017,2025,success
site_5025,"NISE Gwal Pahari, Gurugram - IITM",Gurugram,15M,9,2017,2025,success
site_5039,"Sector-2 IMT, Manesar - HSPCB",Gurugram,15M,9,2017,2025,success
site_5345,"Sector-51, Gurugram - HSPCB",Gurugram,15M,9,2017,2025,success
site_146,"Vikas Sadan, Gurugram - HSPCB",Gurugram,15M,9,2017,2025,success
site_5651,"IITG, Guwahati - PCBA",Guwahati,15M,9,2017,2025,success
site_5683,"LGBI Airport, Guwahati - PCBA",Guwahati,15M,6,2017,2025,success
site_5417,"Pan Bazaar, Guwahati - PCBA",Guwahati,15M,9,2017,2025,success
site_5073,"Railway Colony, Guwahati - PCBA",Guwahati,15M,9,2017,2025,success
site_5273,"City Center, Gwalior - MPPCB",Gwalior,15M,9,2017,2025,success
site_5667,"Deen Dayal Nagar, Gwalior - MPPCB",Gwalior,15M,6,2017,2025,success
site_5661,"Maharaj Bada, Gwalior - MPPCB",Gwalior,15M,9,2017,2025,success
site_5275,"Phool Bagh, Gwalior - Mondelez Ind. Food",Gwalior,15M,9,2017,2025,success
site_5337,"Industrial Area, Hajipur - BSPCB",Hajipur Industrial Area,15M,9,2017,2025,success
site_300,"Priyambada Housing Estate, Haldia - WBPCB",Haldia,15M,6,2015,2025,success
site_5255,"Vijay Nagar, Ramanagara - KSPCB",Hallimala,15M,9,2017,2025,success
site_5715,"Housing Board, Hanumangarh - RSPCB",Hanumangarh,15M,4,2017,2025,success
site_5023,"Anand Vihar, Hapur - UPPCB",Hapur,15M,9,2017,2025,success
site_5448,"B.Katihalli, Hassan - KSPCB",Hassan,15M,9,2017,2025,success
site_5687,"Fertilizer Township, Rourkela - OSPCB",Hatibandha,15M,6,2017,2025,success
site_5420,"Ashwini Nagar, Haveri - KSPCB",Haveri,15M,9,2017,2025,success
site_6072,"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,15M,0,,,success
site_5057,"Urban Estate-II, Hisar - HSPCB",Hisar,15M,9,2017,2025,success
site_5612,"SIPCOT Phase-1, Hosur - TNPCB",Hosur,15M,9,2017,2025,success
site_5101,"Belur Math, Howrah - WBPCB",Howrah,15M,9,2017,2025,success
site_5989,"Botanical Garden, Howrah - WBPCB",Howrah,15M,2,2024,2025,success
site_6009,"Dasnagar, Howrah - WBPCB",Howrah,15M,2,2024,2025,success
site_274,"Ghusuri, Howrah - WBPCB",Howrah,15M,10,2016,2025,success
site_1416,"Padmapukur, Howrah - WBPCB",Howrah,15M,9,2017,2025,success
site_1447,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,15M,9,2017,2025,success
site_5638,"Kalabhavan, Dharwad - KSPCB",Hubballi,15M,9,2017,2025,success
site_5680,"Lingaraj Nagar, Hubballi - KSPCB",Hubballi,15M,6,2017,2025,success
site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,15M,9,2017,2025,success
site_262,"Central University, Hyderabad - TSPCB",Hyderabad,15M,9,2017,2025,success
site_275,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,15M,10,2016,2025,success
site_5604,"Kokapet, Hyderabad - TSPCB",Hyderabad,15M,9,2017,2025,success
site_5599,"Kompally Municipal Office, Hyderabad - TSPCB",Hyderabad,15M,9,2017,2025,success
site_5595,"New Malakpet, Hyderabad - TSPCB",Hyderabad,15M,9,2017,2025,success
site_5602,"Ramachandrapuram, Hyderabad - TSPCB",Hyderabad,15M,9,2017,2025,success
site_294,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,15M,17,2009,2025,success
site_5598,"Somajiguda, Hyderabad - TSPCB",Hyderabad,15M,9,2017,2025,success
site_298,"Zoo Park, Hyderabad - TSPCB",Hyderabad,15M,11,2015,2025,success
site_5592,"DM College of Science, Imphal - Manipur PCB",Imphal,15M,9,2017,2025,success
site_5857,"Airport Area, Indore - IMC",Indore,15M,3,2023,2025,success
site_5856,"Maguda Nagar, Indore - IMC",Indore,15M,3,2023,2025,success
